ISBN,name,one_star_count,two_star_count,three_star_count,four_star_count,five_star_count,average_rating
9786258475142,Karanlıkta Anlatılacak Korkunç Öyküler - Korkunç Öyküler 1,1370,3959,14356,19829,30172,4.05
9786258475593,Maymun Pençesi ve Diğer Öyküler,2,12,64,30,18,3.40
9786053045861,Vampirin Günlükleri: Sığınak - Stefan Günlükleri Vol 5,135,338,1264,1430,2705,4.06
9789750714924,Çarın Laneti - 3.Kitap,5,14,72,170,134,4.05
9786053759164,Üç Sahtekar,20,73,349,500,365,3.85
9786053758389,Nantucketlı Arthur Gordon Pym'in Öyküsü,458,1627,4538,4329,2480,3.50
9786052651179,Dracula'nın Konuğu ve Diğer Tuhaf Öyküler - Karanlık Kitaplık,3,29,95,81,22,3.39
9789752731592,Gece Odasında,144,406,1127,931,514,3.41
9786257913201,Hayalet Öyküleri-Karanlık Kitaplık,75,238,1071,1974,2088,4.06
9786053757221,Kara Kara Kapkara,2,4,26,43,30,3.90
9786053041894,Vampir Günlükleri-Stefan Günlükleri Vol: 2 - Kan Açlığı,439,1020,3317,3797,7076,4.03
9786051420004,Kukla Ustası,0,0,0,0,0,0.00
9786054377275,Leoparadam Micah,2310,5543,11845,11730,15446,3.68
9786053046851,Jason,1130,1826,3511,3026,4316,3.55
9786055016623,Kızımın Katiline Mektuplar,8,16,98,204,239,4.15
9786258327861,Kara Hasat - Karanlık Kitaplık,342,1190,3813,4218,2480,3.61
9786258327847,Yağmur ve Ay Öyküleri,14,164,840,1053,665,3.80
9786057762535,Tekinsiz Öyküler,9,38,237,381,291,3.95
9786053045571,Vampir Günlükleri: Karındeşen-Stefan Günlükleri Vol 4,1018,1630,5122,6524,19053,4.23
9786053046288,Vampirin Günlükleri: İradesiz - Stefan Günlükleri Vol 6,114,313,1106,1279,2566,4.09
9786052651513,Kumsalda - Korku Hikayeleri,2,1,3,0,4,3.30
9786258475128,Topraktan Dönenler,140,518,1796,2153,1637,3.74
9786258327977,Yeşil Surat-Karanlık Kitaplık,7,45,164,210,179,3.84
9789751040312,Gwendy'nin Düğme Kutusu,1117,3216,17271,30821,21361,3.92
9786050946826,Av-Tuhaf Korku Hikayeleri,1,2,1,7,1,3.42
9789750741449,Frankenstein ya da Modern Prometheus - Beyaz Kapak,44142,114880,388591,583889,546176,3.88
9786257442572,Lanetli Otel,181,864,3162,2416,1070,3.43
9786258401592,Yabancılarla Bir Yaz - Karanlık Kitaplık,64,539,2444,2825,1118,3.63
9789752110083,Rüzgar Ekenler,0,3,2,0,2,3.14
9789752107021,Lokanta,10,6,12,6,3,2.62
9786053755791,Biz Gayet İyiyiz,62,316,1222,1899,901,3.74
9786054228638,Ölü Kızın Dansı - Morganville Vampirleri Serisi 2.Kitap,996,2866,12411,19853,23277,4.04
9759758733401,Lanetliler Sirki,969,2940,16987,32824,42079,4.17
9786053041535,Vampir Günlükleri - Kurtuluş - Maskesiz - Vol 3,158,262,581,643,998,3.78
9789758733446,Kaçık Kafe,777,2661,15215,28260,33212,4.13
9786054228119,Cam Ev - Morganville Vampirleri Serisi 1.Kitap,3521,7349,21953,30627,38685,3.92
9786054377961,Karartma - Morganville Vampirleri Serisi 7.Kitap,331,1242,7379,12994,18299,4.18
9786054228980,Tek Ayağı Mezarda,1048,2710,14416,34919,53310,4.29
9786054560806,Isırık Kulübü - Morganville Vampirleri Serisi 10.Kitap,285,1074,5310,9639,14729,4.21
9786054377077,Geceyarısı Çıkmazı - Morganville Vampirleri Serisi 3.Kitap,975,2569,12032,19814,25880,4.09
9786054377831,Carpe Corpus - Morganville Vampirleri Serisi 6.Kitap,546,1593,8545,15703,23101,4.20
9786054560257,Hayalet Şehir - Morganville Vampirleri Serisi 9.Kitap,297,1022,6098,11686,18543,4.25
9786051429809,Vampir Günlükleri - Kurtuluş - Konuşulmayan - Vol 2,104,269,705,729,935,3.77
9786054482870,Ölümün Öpücüğü - Morganville Vampirleri Serisi 8.Kitap,357,1272,6934,12425,18552,4.20
